Location,Count,Latitude,Longitude
Russie,8326,61.523112,105.1
Ukraine,5423,48.379889,31.168139
États-Unis,3016,39.8283,-98.5795
France,2663,46.232193,2.209667
Moscou,2647,55.7558,37.6173
Kiev,2391,50.4501,30.5234
Afrique,2237,9.1021,18.2812
Chine,1643,35.8617,104.1954
État,1400,36.5748441,139.2394179
Algérie,1287,28.0339,1.6596
Occident,1256,39.6913015,-85.4782303
Mali,1174,17.0,-4.0
Europe,1170,51.0,10.0
Maroc,1082,31.7917,-7.0926
Turquie,947,38.9637,35.2433
Paris,874,48.8566,2.3522
Afrique du Sud,864,-30.5595,22.9375
Allemagne,806,51.1657,10.4515
Washington,722,38.9072,-77.0369
Zaporojié,655,47.8507859,35.1182867
États,643,39.7837304,-100.445882
l’Afrique,642,43.5346302,0.1958151
Égypte,617,26.8206,30.8025
Kherson,595,46.6354,32.6181
Donetsk,580,48.0159,37.8028
Inde,552,20.5937,78.9629
Burkina Faso,542,12.2383,-1.8641
Kremlin,511,36.5472537,-97.8314456
Nord,501,50.5289615,3.0883508
Donbass,491,40.5928159,71.8919178
Nigeria,473,9.082,8.6753
Pékin,467,39.9042,116.4074
Syrie,451,34.8021,38.9968
Tunisie,419,33.8869,9.5375
Soudan,405,14.5844444,29.4917691
Royaume-Uni,390,55.3781,-3.436
Kenya,382,-0.0236,37.9062
Brésil,381,-14.235,-51.9253
Sénégal,364,14.4974,-14.4524
mer Noire,353,43.872824,33.9938077
Iran,351,32.4279,53.688
RDC,347,-2.9814344,23.8222636
Pologne,334,51.9194,19.1451
Alger,330,36.7538,3.0588
Zimbabwe,329,-19.0154,29.1549
Crimée,325,45.3453,34.0
Niger,312,17.7356214,9.3238432
Éthiopie,302,8.9806,38.7578
Istanbul,283,41.006381,28.9758715
Ouganda,282,1.3733,32.2903
Africains,280,43.301009,5.3681139
Artiomovsk,280,54.349564,93.437813
Italie,273,41.9028,12.4964
Ghana,270,8.0300284,-1.0800271
Saint-Pétersbourg,270,59.9343,30.3351
Bamako,267,12.6392,-8.0029
Pentagone,264,50.8464885,4.3536847
Russie-Afrique,263,55.758955,37.5943635
Taïwan,262,23.9739374,120.9820179
Cameroun,252,4.6125522,13.1535811
Libye,252,26.8234472,18.1236723
Angola,236,-11.2027,17.8739
Arabie saoudite,235,23.8859,45.0792
Berlin,232,52.5173885,13.3951309
Biélorussie,230,53.7098,27.9534
Israël,223,30.8124247,34.8594762
Centrafrique,221,7.0323598,19.9981227
République démocratique du Congo,220,-2.9814344,23.8222636
Espagne,219,39.3260685,-4.8379791
Suède,218,59.6749712,14.5208584
Sahel,213,14.0279165,-0.7717776
Rwanda,208,-1.9403,29.8739
Tchad,208,15.6134137,19.0156172
Koupiansk,206,49.7225,37.6083
Bruxelles,203,50.8465573,4.351697
Japon,202,36.2048,138.2529
l’Europe,199,48.4548311,-2.0590025
Amérique,197,9.2548361,-79.8805617
Ankara,193,39.9207759,32.8540497
Etat,191,36.5748441,139.2394179
Asie,188,51.2086975,89.2343748
Moyen-Orient,186,48.8491127,2.3476893
Côte d’Ivoire,184,7.9897371,-5.5679458
Irak,181,33.3152,43.6062
Londres,181,51.5074456,-0.1277653
Kharkov,178,49.9923181,36.2310146
Européens,177,56.9509171,24.1105336
Défense,175,51.5039966,-0.1248561
Rabat,169,34.0218454,-6.8408929
Etats-Unis,167,39.7837304,-100.445882
Pretoria,166,-25.7459277,28.1879101
Canada,166,61.0666922,-107.991707
Somalie,165,8.3676771,49.083416
Hongrie,164,47.1817585,19.5060937
RPD,162,23.7303696,80.5764824
Burkina,162,12.0753083,-1.6880314
Bangui,161,4.3635118,18.5835913
Pays-Bas,161,52.2434979,5.6343227
